VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJ3E1EB9J,Kitsap,Bainbridge Island,WA,98110,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,23,476462444,POINT (-122.521 47.62732),PUGET SOUND ENERGY INC,53035090700
JN1AZ0CP2B,Kitsap,Port Orchard,WA,98367,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,26,279030461,POINT (-122.70348 47.52028),PUGET SOUND ENERGY INC,53035092802
JN1AZ0CP8B,King,Bothell,WA,98011,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,1,232370001,POINT (-122.20563 47.76144),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021804
1G1FY6S06L,Yakima,Selah,WA,98942,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,15,264646266,POINT (-120.53145 46.65405),PACIFICORP,53077003200
KNDCM3LD3L,King,Seattle,WA,98133,2020,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,32,154002691,POINT (-122.33364 47.73709),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000402
KNDCS3LF9P,Thurston,Olympia,WA,98502,2023,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,22,249788311,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067012001
WAUUPBFF9G,King,Seattle,WA,98103,2016,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,43,198988891,POINT (-122.35436 47.67596),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004800
5YJSA1E20J,Kitsap,Bremerton,WA,98337,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,26,261482455,POINT (-122.62749 47.565),PUGET SOUND ENERGY INC,53035080500
1G1RD6S55H,Snohomish,Lynnwood,WA,98087,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,21,117693012,POINT (-122.27981 47.85727),PUGET SOUND ENERGY INC,53061041816
5UX43EU01R,Snohomish,Bothell,WA,98012,2024,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39,21,264392369,POINT (-122.20105 47.84423),PUGET SOUND ENERGY INC,53061051927
5YJ3E1EB5K,King,Kirkland,WA,98034,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,1,477823384,POINT (-122.22901 47.72201),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022300
1N4AZ0CPXD,Thurston,Olympia,WA,98506,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,22,162570523,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067010200
